Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
0.1841,-0.3733,-1.0304,-1.2833,4.1958,8.8573
-0.2364,0.0544,-0.1831,-0.0814,1.9932,7.7285
-0.1343,-0.2169,-0.1346,-0.7302,1.6508,8.1714
-0.1631,-0.3491,-0.3251,0.6991,1.7406,8.6395
0.1359,-0.3691,-0.6624,-0.3436,1.5203,8.8861
-0.0179,-0.0360,-0.2049,-1.1971,1.5598,8.0493
-0.0770,0.0783,-0.0754,-0.1089,1.8735,8.0445
-0.1631,-0.1111,-0.2523,-0.0670,1.6987,8.3821
-0.1711,0.0642,-0.0701,-0.4202,1.4880,9.6319
0.0504,-0.0189,0.0698,0.7159,1.7250,8.8933
0.2713,-0.0211,-0.1516,0.5590,2.1021,11.5520
0.7237,-0.4365,0.1188,-0.4836,1.0283,11.8178
1.1796,0.2478,0.6262,-0.3005,0.6656,12.8186
2.5900,0.8282,0.6646,3.3411,2.4217,8.3043
1.3795,-0.4652,-0.7208,3.4405,3.7888,0.4729
0.3547,-0.0330,-0.7855,-1.3276,4.7884,1.7705
-0.3605,-0.2907,-0.4463,-2.2290,5.3893,3.7685
-0.6819,-0.2164,0.0096,-2.2601,4.5885,7.2999
-0.4072,-0.1831,0.2411,-0.5028,4.1803,9.7743
-0.1623,-0.0123,0.1817,0.7386,4.2246,8.8202
-0.0805,0.0858,0.1740,0.7805,4.1922,7.9607
-0.1260,0.0234,0.0053,1.1552,3.9911,6.9851
-0.2262,0.0008,-0.0450,0.6476,4.0259,6.6547
-0.3701,-0.0703,-0.0568,0.8428,3.9971,6.9923
-0.3893,0.0432,-0.0304,0.2251,3.9073,7.7692
-0.3640,-0.0442,-0.0234,0.6488,3.7733,8.4539
-0.2494,0.0735,-0.0285,0.4860,3.4117,9.0022
-0.0285,-0.0261,-0.0157,0.8176,3.3351,8.8226
-0.1010,0.1514,-0.0256,0.2825,3.2705,8.6107
-0.0413,-0.0112,-0.0634,0.7973,3.2130,8.1714
-0.0568,0.0517,-0.0349,0.1006,3.2717,8.2277
0.0245,0.0426,-0.0296,0.6823,3.6069,8.0565
-0.0173,0.1431,-0.0280,-0.2286,3.4177,7.9045
-0.0853,0.1351,0.1940,0.2717,3.2705,8.1989
-0.0594,0.0192,0.0703,1.1911,3.6476,7.4962
-0.1010,0.0282,-0.0370,0.6381,3.5805,7.7776
-0.1625,0.0589,-0.0594,0.2466,3.4117,7.8326
-0.1354,0.0173,-0.0330,0.2334,3.2693,7.9476
-0.1484,-0.0005,0.0512,0.1951,3.2382,7.9523
-0.1535,-0.0163,0.0762,0.5626,3.3351,8.4910
-0.0898,-0.0013,0.0328,1.0882,3.3662,8.4432
-0.0365,0.1042,-0.0562,0.5315,3.2166,8.0290
-0.0624,0.0552,-0.0266,0.4094,3.0837,8.0852
-0.0179,0.0107,0.0538,0.3711,3.0155,8.5138
0.1228,0.1026,0.1732,2.1644,3.3674,10.8553
0.9470,0.8855,-0.5081,6.6571,2.4157,10.2005
1.8932,-0.6379,-1.8311,11.0636,-1.6221,-8.5389
-1.6585,-5.6232,-2.5274,-13.2531,-6.7804,-28.3294
-8.7314,-1.1242,3.8395,-15.8592,-25.9591,11.6945
-2.7864,-1.5692,3.2911,-8.8059,-14.9063,39.2254
0.6819,0.0632,8.3107,6.6906,-24.0282,39.2254
7.3759,0.1031,1.8255,32.4977,-27.6111,39.2254
8.7312,2.5700,-1.3752,34.4178,-27.4100,-2.7174
8.6568,-1.0325,-6.2515,2.4995,-26.4021,-31.3916
-0.3957,-1.8074,0.1418,-28.6406,-5.9867,-36.8192
-1.5908,-1.2167,1.1037,2.6348,2.8730,4.7046
-1.3134,-0.1761,0.7274,-4.1575,5.4624,5.6767
-1.1301,0.7498,0.9073,2.4960,5.0530,12.8210
-0.3128,-0.1833,0.3355,-0.9014,5.8287,7.8254
-0.3352,-0.1367,0.7266,0.7697,5.9400,8.2301
-0.0914,0.0746,0.2052,1.1935,6.3566,8.0792
0.0013,0.0019,0.0711,0.2167,6.1100,5.6144
-0.1356,-0.0181,-0.0472,0.4549,5.8347,6.6343
-0.1593,-0.2843,-0.0258,-0.8464,5.4121,6.8055
-0.2014,-0.2017,0.2353,0.3100,5.3953,7.3670
-0.1290,-0.3373,0.2502,0.2167,5.6395,7.0593
-0.2020,-0.0871,0.1545,2.2158,6.0897,7.2173
-0.0501,-0.1018,-0.2017,0.5076,5.7868,7.2592
-0.1154,-0.1452,-0.0336,0.2682,5.8311,6.5912
-0.1908,-0.0645,-0.0320,0.2885,5.3690,7.2377
-0.1972,0.0141,0.0373,0.5267,5.1116,7.2401
-0.1242,0.1956,0.0197,0.7578,5.0075,7.2796
-0.1199,0.2030,0.0642,0.9002,5.4073,7.2784
-0.0717,0.2446,-0.1087,1.8136,5.1451,7.7991
0.0871,0.3144,-0.1625,-0.3567,5.7114,6.6319
-0.0139,0.4050,-0.1255,-1.4138,5.7772,6.6092
-0.1308,0.2305,0.1231,-1.1875,5.5174,6.4787
-0.2337,0.2324,0.0991,-0.0622,4.9680,7.7632
-0.1556,0.0344,0.1404,0.0036,4.7692,7.6411
-0.1303,0.0120,0.1037,0.7003,4.5885,7.7967
-0.0285,0.0189,0.0560,0.4944,4.8818,7.4508
-0.0687,0.0208,-0.0389,0.6931,5.3283,7.0653
-0.0901,-0.0426,-0.1460,0.5136,5.3008,7.1144
-0.0890,-0.0552,-0.1162,0.0838,5.2110,7.1359
-0.1023,-0.0163,-0.1164,-0.6393,5.0266,7.1287
-0.1079,0.0373,0.0290,-0.4872,5.0266,6.8187
-0.1327,-0.0048,0.1058,-0.4226,4.9716,7.1778
-0.1615,0.0544,0.1844,-0.1987,4.7297,7.3334
-0.1644,0.0618,0.2774,-0.1724,4.5705,7.5357
-0.0981,0.1751,0.4325,-0.4956,4.6878,7.6172
-0.1231,-0.0410,0.3962,0.7865,5.0111,7.6088
-0.1476,0.0592,0.3094,0.9170,4.7872,7.1287
-0.1689,-0.0927,0.2196,1.3192,4.9740,6.7696
-0.3784,-0.1607,0.0011,1.2546,5.2349,7.4651
-0.1945,-0.0970,0.0195,-0.5555,4.9225,7.8853
-0.2619,0.1058,0.3720,1.0654,4.6591,7.4615
-0.1804,0.1255,0.1684,2.1608,4.2760,8.1786
-0.0589,0.2209,-0.1391,2.0997,4.2270,7.8087
-0.0813,0.0813,-0.2046,0.9385,4.4616,6.9336
-0.1466,0.0695,-0.2713,0.4956,4.6064,7.2784
-0.1924,-0.0725,-0.2990,-0.6919,4.8219,7.3310
-0.1935,0.0839,-0.1383,-0.6333,4.1551,7.3071
-0.1591,-0.1537,-0.1085,-0.2155,3.7457,6.5733
-0.2403,-0.2699,-0.2974,-0.7135,3.2130,7.3215
-0.2497,-0.3677,-0.1242,-0.0467,3.5195,7.3873
-0.5441,-0.0818,-0.1354,0.8499,3.7421,7.9823
-0.4410,-0.3834,-0.2249,0.8918,3.6452,9.4631
-0.3770,-0.2531,-0.1961,3.1639,3.7218,9.1171
-0.2156,-0.4130,-0.6147,1.9453,2.7485,8.9795
-0.1527,-0.4338,-0.4999,2.3667,2.0279,8.8406
-0.0469,-0.2097,-0.4668,2.0111,2.1033,8.4611
-0.0935,-0.2262,-0.2481,1.7597,2.5450,7.3849
-0.1951,-0.1863,-0.3451,3.0035,2.6983,8.2193
-0.1231,-0.1889,-0.4567,2.2517,2.7438,8.3977
0.0160,-0.0024,-0.3861,0.9732,3.1149,8.9220
0.1250,-0.0999,-0.0242,0.6895,3.5291,8.2109
0.1071,-0.0144,0.1817,1.4760,3.4895,8.0613
0.3059,-0.1751,0.3379,1.5802,3.5686,7.6866
0.1479,0.0019,0.6368,2.9377,3.4656,7.0868
0.1617,0.2571,0.5407,3.0646,3.2334,8.3055
0.3016,0.1644,0.5284,1.9644,3.2429,8.3222
0.2236,0.4580,0.6051,1.8783,4.6747,7.1347
-0.1316,0.5646,0.2691,1.5299,4.8806,8.3462
0.1831,0.3280,0.1713,-0.1580,4.4736,8.4216
0.1943,0.1372,0.2590,1.5191,4.1144,6.9324
0.2001,0.1319,0.1066,0.7709,3.8211,7.3550
0.1092,0.1879,0.0930,1.1839,4.0211,6.7193
0.0115,0.1013,0.0136,1.6520,3.9768,7.5836
-0.0085,0.1162,0.0389,1.6448,4.1827,8.0709
0.0229,0.0589,-0.1207,2.3523,4.2066,8.8346
0.1311,-0.3144,-0.1130,0.4058,4.1396,9.5780
0.1945,-0.3840,0.5300,3.4105,5.0673,12.4965
1.0512,0.8380,-0.1138,9.9311,3.9756,12.2799
1.5695,0.7813,-1.8063,13.0089,0.1652,-0.7147
0.5809,-2.2471,-3.7331,9.9695,-4.3263,-10.1382
-2.2572,-4.3974,-5.0881,-3.9684,-11.7555,-14.9530
-6.7239,-4.5139,1.0968,-23.8810,-20.3495,-3.3734
-6.1969,-2.2151,5.4910,-9.9707,-19.6396,39.2254
-1.6880,-0.5305,6.2299,0.4094,-9.3709,39.2254
2.0981,0.3571,5.9341,39.2254,-16.4889,39.2254
8.7312,-0.5657,-3.5376,37.4010,-35.1289,34.0898
7.7133,0.9958,-5.5400,21.1683,-29.9371,-14.5041
3.5972,-0.9558,-4.2514,-27.8984,-14.3305,-32.6294
-0.6246,0.7858,1.1226,-11.3342,-1.4688,-3.8894
-0.8564,0.0778,0.5516,-6.6403,4.9069,-1.2007
-1.4853,0.2388,1.7277,-0.9325,4.9380,6.3590
