Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.2872,-0.4871,0.4533,-0.6440,0.1724,8.9567
-0.0080,0.0322,0.0418,0.4070,-0.6357,8.5150
-0.0005,0.0242,0.0338,0.3843,-0.5351,8.3558
-0.0818,0.0208,0.0360,0.5495,-0.5363,8.2552
-0.0719,0.0472,0.0312,0.5387,-0.6991,8.9148
-0.0083,0.0509,0.0448,0.6033,-0.5148,8.4910
-0.0810,0.0538,0.0163,0.7338,-0.5483,8.6263
-0.0173,0.0458,0.0075,0.5519,-0.5842,8.6084
-0.0485,0.0544,0.0069,0.4369,-0.5231,8.5653
-0.0453,0.0163,-0.0104,0.5842,-0.6261,8.5437
-0.0226,0.0514,0.0117,0.3531,-0.6800,8.6778
-0.0402,0.0634,0.0352,0.6620,-0.5626,8.3941
0.0133,-0.0882,0.0855,0.6764,-0.3352,8.9854
-1.4008,-0.3024,2.7161,17.0527,5.7808,8.8933
-0.2233,-0.7003,-6.0905,19.0902,-13.0664,39.2254
8.7312,1.5074,-5.9133,-22.2529,-33.6302,11.8477
4.5045,3.4981,1.0701,-15.6952,-15.1589,-5.5522
3.0254,2.5791,3.4787,-10.5716,-10.7129,-18.7670
-1.3949,1.9396,4.4262,-4.7848,-7.5645,-30.6937
-5.6951,0.6648,4.8134,8.8095,-18.7969,-26.4559
-8.7314,-2.7566,3.2964,24.7608,-35.7502,-12.3349
-7.2123,0.6049,0.1476,39.2254,-26.4643,39.2254
-4.8254,2.3947,-7.0650,3.3112,-24.5585,33.8768
-0.4554,0.8175,-1.1261,-21.2952,-6.7935,19.8623
-1.9244,0.5383,2.3073,-6.1914,-3.9133,12.0081
1.0669,-0.3429,1.0773,9.9156,-5.4959,13.5644
0.7149,0.2662,0.3051,5.0254,-4.3323,4.5921
0.3195,0.0242,-0.1010,4.9476,-5.7197,7.0318
0.1172,-0.1777,0.3219,0.8356,-5.6072,5.4372
0.0195,-0.0906,0.6819,3.8355,-5.1164,8.1487
0.3957,-0.1569,0.2174,3.6176,-4.3622,6.5912
0.3142,0.4088,0.1135,2.9173,-4.5909,6.6535
0.2907,0.1340,-0.1623,1.8064,-4.7046,7.1503
0.0354,0.3163,0.3309,0.7410,-4.4269,6.5709
0.1228,0.3094,0.3288,4.1635,-4.8830,9.4020
0.7312,0.0346,-0.0426,2.2601,-4.6855,9.3541
0.6699,-0.0621,0.1322,3.3782,-3.7900,7.1539
0.5289,0.1988,-0.0376,3.3423,-3.3818,8.3797
0.7536,-0.0416,-0.1929,3.2765,-2.6899,9.2261
1.0485,0.5167,-0.4298,1.8675,-2.5343,11.7232
1.5479,0.5654,-0.3088,1.9537,-2.7916,9.8426
1.4538,0.3296,-0.3134,1.6604,-2.0614,4.6412
0.2369,0.2020,-0.4165,1.9752,-0.8428,3.6990
-0.4826,0.4197,-0.3451,1.3300,-1.0151,7.8650
0.1111,0.1988,-0.2305,0.2095,-1.3156,9.9898
0.2529,0.2635,-0.0378,1.0523,-1.1420,7.1144
-0.0965,0.3254,0.0384,1.1025,-0.8511,7.0018
-0.2475,0.1250,0.0901,1.0846,-0.8703,7.6698
-0.2494,0.0035,0.1103,1.6568,-0.8691,7.7033
-0.4349,0.0645,0.0605,1.3228,-0.9158,7.3346
-1.0062,0.7317,0.3741,0.5974,-1.1660,5.8849
-1.8413,-0.1434,0.8756,3.9492,-2.2087,11.2851
-1.4981,-0.6582,0.3667,28.5556,-3.5757,29.8772
4.1310,-1.3121,-6.7500,10.7978,-20.4764,39.2254
8.2694,1.8615,-4.0540,-20.9840,-23.0705,9.3685
4.2781,3.0870,0.6957,-17.0946,-12.8233,-9.7624
2.9116,2.3446,2.1301,-13.0699,-11.6993,-34.0216
-4.1800,0.5215,5.4334,-3.9816,-19.7007,-34.1700
-7.3120,-0.3797,4.7931,23.1244,-27.3849,-14.9482
-8.7314,-1.2782,1.6542,24.4556,-32.9658,2.8814
-8.2057,1.8016,-2.6401,8.7436,-35.9358,39.2254
2.7627,0.2092,1.9414,6.9384,-9.7085,34.0491
0.8905,0.2361,-2.1032,15.7682,-2.2889,8.0673
1.4589,0.4125,-2.5106,-0.6177,-5.7557,4.1336
-0.0368,0.1796,-0.7653,-3.4058,-5.0769,4.5586
0.4639,-0.0914,0.2254,1.1133,-4.1049,6.5984
-0.4154,0.3528,0.5244,3.1412,-3.8415,3.5674
-0.2928,0.3014,0.3413,4.5226,-4.9057,9.4906
0.1079,0.1764,0.1865,3.1436,-4.2066,7.1395
-0.0530,0.2859,0.2513,3.8930,-3.7038,6.6726
-0.0887,0.2811,0.1516,3.5362,-4.2916,7.6172
