Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.0434,0.0514,0.0192,-0.6512,-0.6129,8.4851
-0.0418,0.0512,0.0205,-0.8021,-0.6656,8.4839
-0.0402,0.0528,0.0203,-0.6632,-0.6069,8.4671
-0.0418,0.0512,0.0203,-0.6871,-0.6596,8.4791
-0.0405,0.0509,0.0197,-0.7230,-0.6201,8.4958
-0.0410,0.0506,0.0213,-0.6812,-0.6560,8.5078
-0.0418,0.0517,0.0208,-0.7099,-0.6165,8.5150
-0.0405,0.0512,0.0205,-0.7171,-0.6225,8.4827
-0.0405,0.0514,0.0195,-0.6859,-0.6165,8.4815
-0.0418,0.0520,0.0218,-0.6847,-0.6404,8.4719
-0.0429,0.0512,0.0205,-0.6931,-0.6369,8.5042
-0.0421,0.0517,0.0197,-0.7278,-0.6261,8.5018
-0.0416,0.0496,0.0203,-0.6847,-0.6476,8.4958
-0.0416,0.0517,0.0200,-0.7230,-0.6213,8.5114
-0.0418,0.0546,0.0197,-0.7039,-0.6177,8.4839
-0.0410,0.0512,0.0195,-0.7027,-0.6273,8.4994
-0.0410,0.0517,0.0205,-0.6572,-0.6452,8.4695
-0.0416,0.0498,0.0203,-0.7733,-0.6476,8.5054
-0.0410,0.0514,0.0208,-0.6728,-0.6153,8.4910
-0.0421,0.0520,0.0203,-0.7051,-0.6440,8.5210
-0.0416,0.0512,0.0203,-0.6907,-0.6656,8.5174
-0.0424,0.0506,0.0200,-0.7039,-0.5997,8.4683
-0.0440,0.0506,0.0216,-0.6919,-0.6632,8.5210
-0.0421,0.0530,0.0200,-0.7578,-0.6009,8.4707
-0.0400,0.0506,0.0197,-0.6931,-0.6321,8.5174
-0.0426,0.0525,0.0213,-0.7003,-0.6452,8.4563
-0.0408,0.0509,0.0200,-0.7123,-0.6536,8.5030
-0.0413,0.0517,0.0203,-0.6764,-0.6440,8.4910
-0.0416,0.0514,0.0205,-0.7171,-0.6309,8.5030
-0.0408,0.0512,0.0211,-0.7147,-0.6704,8.5102
-0.0413,0.0506,0.0203,-0.7027,-0.6213,8.4898
-0.0416,0.0509,0.0203,-0.6943,-0.6333,8.4886
