Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.0250,0.0131,0.0101,1.2234,-1.2594,8.4695
-3.7334,-1.5932,0.0701,-0.5830,-8.5653,14.3149
-1.1325,0.7282,0.0741,0.8320,0.9050,2.8850
-1.7749,0.5966,-0.1100,1.2366,-1.0965,-5.2038
-2.6319,-0.8831,-0.4407,-0.2574,-1.7561,-3.8966
-3.6116,-2.9034,-0.7498,5.0278,-1.7609,-7.3825
-5.8211,-4.4510,-1.2905,12.4762,-12.1482,-7.0701
-4.7057,-3.8035,-1.7621,13.9989,-20.5243,39.2254
0.2124,-0.0013,0.4471,-0.8296,-9.4870,36.7091
1.2132,1.2766,-0.3792,3.9828,-4.3622,16.2782
1.3488,0.5383,0.3120,4.0905,-3.0634,8.0050
0.5660,0.1892,0.0703,5.0362,-2.2302,3.2657
-0.1591,0.4247,-0.1684,3.0765,-3.3890,6.3363
-0.0290,0.2779,-0.1207,1.8483,-4.4568,6.2237
-0.2446,0.2665,0.0416,1.0642,-4.4053,6.8139
-0.1077,-0.0168,0.2555,2.7461,-2.8874,8.4384
0.0187,0.2523,-0.0264,2.5965,-2.6085,8.3773
0.0221,0.2976,0.0147,2.4493,-2.7402,8.3582
0.0498,0.2766,-0.0011,2.1392,-2.7749,8.1654
0.0051,0.1724,0.0605,2.2793,-2.7162,7.4160
-0.0919,0.2148,0.0131,2.1261,-2.7785,8.5210
0.1180,0.0967,0.0578,1.7657,-2.7557,8.3067
0.0490,0.2049,0.0402,2.2601,-2.6444,8.3067
0.1306,0.1053,0.0440,1.6975,-2.6827,8.3689
0.2435,0.0344,0.0450,2.2709,-2.5295,8.0038
0.1743,0.0922,0.0218,1.6580,-2.5402,7.9511
0.1204,0.1332,-0.0021,1.9632,-2.4648,7.8027
0.0160,0.1705,0.0088,1.6963,-2.4553,8.0421
0.0829,0.0861,0.0176,1.8579,-2.4122,8.3163
0.1231,0.0677,0.0384,1.7190,-2.2829,8.0325
0.0317,0.1026,0.0211,1.9680,-2.0075,7.8578
0.0019,0.1002,-0.0120,1.3396,-2.0889,8.1678
-0.0147,0.1023,-0.0224,1.9369,-2.0865,8.2756
0.0165,0.0946,-0.0048,1.6628,-2.1464,8.2241
-0.0155,0.0496,0.0365,1.7849,-2.0482,8.3845
0.0096,0.0983,-0.0256,1.7095,-2.0123,8.4013
0.0091,0.0392,0.0088,1.7502,-1.9513,8.2935
-0.0325,0.0893,0.0013,1.3898,-1.9896,8.3187
-0.0045,0.0621,-0.0096,1.5143,-1.9477,8.2049
-0.0072,0.0687,-0.0312,1.5957,-2.0303,8.3222
-0.0288,0.1029,-0.0016,1.6029,-2.0470,8.3917
-0.0080,0.0997,0.0208,1.4664,-1.9632,8.3187
0.0061,0.0719,-0.0197,1.6364,-1.9106,8.2229
-0.0365,0.0490,-0.0176,1.7729,-1.8878,8.2672
-0.0354,0.0528,0.0144,1.3922,-1.8639,8.3821
-0.0218,0.0602,-0.0256,1.5060,-1.8711,8.1056
-0.0701,0.0314,-0.0037,1.3156,-1.9321,8.2672
-0.0498,0.0016,0.0637,1.4569,-1.8723,8.4216
-0.0485,0.0397,0.0059,1.6376,-1.8507,8.5964
0.0461,0.0477,0.0312,1.4509,-1.9345,8.5964
0.1154,0.0149,0.0448,1.7322,-1.8399,8.2648
0.0059,0.0485,0.0482,1.8603,-1.7693,8.1630
-0.0256,0.0778,-0.0040,1.7597,-1.8124,8.4168
-0.0067,0.0416,0.0469,1.6987,-1.7717,8.3857
-0.0240,0.0493,0.0085,1.6305,-1.6783,8.6299
-0.0176,0.0456,-0.0139,1.7202,-1.5311,8.6981
-0.0485,0.1372,0.0120,1.2222,-1.8208,9.5062
0.1852,0.0629,0.1681,1.0965,-1.7406,9.7863
0.1903,0.1122,0.1013,1.7813,-1.6113,8.7221
0.0440,0.4159,0.0973,1.4006,-1.5981,9.2392
0.2435,0.3392,0.0805,0.9325,-1.8471,9.5313
0.3917,0.3208,0.1812,0.7350,-1.6939,9.0537
0.3621,0.3760,0.2065,1.0068,-1.3755,8.3474
-0.2899,0.7426,0.0466,1.3527,-1.0606,7.5262
-0.6539,0.9340,-0.0671,0.1041,-1.3527,9.9778
0.1178,0.5380,0.1069,0.6572,-1.3743,9.9695
0.3347,0.3155,0.1484,-0.1389,-1.1121,7.3969
0.1924,0.1455,-0.0381,0.3400,-0.9541,6.8199
0.0685,-0.0658,0.0272,-1.2534,-1.0558,7.0928
-0.0035,-0.0693,0.1529,-0.3256,-0.6883,7.7847
-0.0674,-0.2214,0.1274,-0.4070,-0.1820,8.0278
0.0147,-0.1069,0.1180,-0.1149,-0.5411,8.0768
-0.2017,0.1681,0.1338,-0.0934,-0.7649,8.3725
0.1111,0.1069,0.0544,0.1712,-0.8284,8.9411
0.1876,0.0938,0.0863,0.1425,-0.5710,7.4603
0.0325,0.0341,0.0229,0.0539,-0.4477,7.7524
-0.0498,0.0083,-0.0378,0.0407,-0.4980,7.8673
-0.1322,-0.0032,-0.0147,-0.0802,-0.6440,8.4072
-0.1375,-0.0224,-0.0373,-0.0455,-0.6273,8.5389
-0.1085,-0.0400,0.0072,-0.2442,-0.7590,8.7819
-0.0360,-0.0544,-0.0269,-0.0395,-0.8188,8.5748
-0.0989,-0.0445,0.0187,0.3029,-0.7159,8.3007
-0.1079,-0.0333,-0.0661,0.2095,-0.7985,8.2947
-0.0826,-0.0389,-0.0226,0.1305,-0.8260,7.8602
-0.2078,-0.0192,-0.0362,-0.3903,-1.1121,7.5046
-0.2867,-0.1415,0.1138,0.2382,-0.7997,6.3530
-1.7989,-0.2529,-0.1346,1.5981,-1.8088,4.2808
-3.7425,0.5180,0.0765,-1.7753,-9.3242,34.2275
3.7076,0.7405,1.3270,-4.0677,-14.7064,39.2254
6.3530,2.1783,0.6859,2.0411,-12.8174,12.1314
5.8968,0.4772,0.6344,-0.9529,-6.7684,-11.6107
1.1546,1.0264,-0.0261,6.5817,-0.0706,-7.8673
2.7744,-1.2193,-0.2348,0.1281,0.0156,-2.0458
0.2502,0.2185,-0.1807,-5.9915,0.9720,-1.7681
0.0450,-0.0655,0.4117,6.9288,4.8195,-6.5170
-0.6094,0.2955,-0.0693,2.8216,7.9631,-1.7214
-0.7807,0.0384,0.0045,-0.7362,4.3000,5.6731
-0.6075,0.1442,0.0557,1.9094,5.8957,6.5685
-0.3259,0.7027,-0.1396,-0.5543,2.3020,4.6196
-0.5846,1.3646,0.0216,-2.8814,-2.2577,-2.9532
0.3826,0.2928,0.2158,1.8028,-3.0933,-6.5374
-1.5047,-1.3043,0.1292,-0.7207,-5.2325,-16.9845
-5.2701,-3.3281,0.9417,8.0912,-8.3857,-10.0317
-8.0408,-3.5029,-0.5209,17.7769,-14.9961,32.6413
-1.0760,-2.2769,-0.5817,-4.0402,-9.0860,39.2254
1.3174,0.1442,1.3142,5.1595,0.3316,28.8214
0.9441,1.3174,0.2212,5.0099,0.5124,12.2284
1.4432,0.3906,0.4221,3.0718,-1.7011,4.7489
0.2835,0.4994,-0.0187,1.9513,-2.0135,6.5924
0.3749,0.2172,0.2182,2.8982,-1.0750,5.8395
-0.1966,0.2609,-0.0421,1.8268,-0.8236,7.1192
-0.0141,0.0869,-0.0717,2.7641,-0.0622,7.5717
-0.3539,0.1828,-0.2324,1.6496,-0.1748,8.3486
-0.0131,0.0538,-0.1516,1.5131,-0.5207,8.8921
-0.1649,0.2121,-0.2129,1.0187,-0.4130,8.1247
-0.1202,0.1833,-0.1519,0.5662,-0.6249,8.5617
-0.2270,0.2457,-0.1969,1.3970,-0.5507,8.0122
-0.0565,0.0805,-0.0797,0.5136,-0.6213,8.9172
-0.1564,0.1468,-0.0477,1.1576,-0.3675,8.5114
-0.0810,0.0453,0.0104,1.0511,-0.4752,8.8681
-0.0925,0.1106,-0.0400,1.2749,-0.4381,9.0058
0.0120,0.1074,-0.0160,1.0786,-0.4286,8.8981
-0.1279,0.1716,-0.1436,1.6185,-0.5016,8.1511
-0.0568,0.1130,-0.1724,0.3962,-0.9673,8.9890
0.0272,0.0434,-0.0578,1.0367,-0.7314,8.0649
-0.1828,0.1647,-0.1108,0.9218,-0.8200,8.6898
0.0136,0.0488,-0.0240,0.8140,-0.6656,8.9364
0.0000,0.0898,-0.0741,0.8978,-0.4764,8.2145
0.0053,0.0184,-0.0101,0.8703,-0.5507,8.6287
-0.0168,0.1069,-0.0730,0.5962,-0.6979,8.4743
0.0147,0.0770,-0.0027,1.0534,-0.6644,8.6299
-0.0216,0.1023,-0.0171,0.9565,-0.6165,8.5126
-0.0131,0.0642,0.0139,1.1672,-0.4645,8.6562
0.0104,0.0288,-0.0123,1.0666,-0.3831,8.4611
-0.0189,0.0653,-0.0554,0.6895,-0.4729,8.5281
-0.0037,0.0309,-0.0083,1.0379,-0.5291,8.7029
-0.0045,0.0472,-0.0256,0.5291,-0.5088,8.5126
-0.0330,0.0632,0.0245,0.9122,-0.3950,8.4922
-0.0168,0.1154,-0.0325,0.7207,-0.4752,8.6060
-0.0293,0.0562,0.0663,0.7817,-0.4693,8.4611
-0.0285,0.0642,0.0168,1.0343,-0.3424,8.6287
-0.0528,0.0962,0.0168,0.8703,-0.3747,8.7604
-0.0112,0.0909,-0.0144,0.8212,-0.4094,8.3462
-0.0981,0.0629,-0.0027,1.1372,-0.4729,8.3594
-0.1276,0.1162,0.0256,0.7290,-0.5674,8.6634
-0.0594,0.0370,0.0703,0.9254,-0.4824,8.6072
-0.0608,0.0783,0.0293,1.0247,-0.4298,8.8789
-0.0037,0.1053,-0.0226,1.1839,-0.3879,8.8358
-0.0290,0.0557,-0.0397,0.4992,-0.4286,7.8302
-0.0674,-0.0144,0.0448,0.3172,-0.6117,8.9938
0.0168,-0.0477,0.1077,0.6680,-0.4489,8.7652
-0.0456,0.0573,0.0117,1.3192,-0.3926,8.9244
-0.0144,0.1010,-0.0341,1.2402,-0.4980,8.9998
0.0304,0.1007,-0.0749,0.9493,-0.4836,8.6395
-0.0253,0.0693,-0.0989,1.0570,-0.3603,8.0840
-0.1295,0.0354,-0.1172,0.8021,-0.3759,8.1223
-0.1095,0.0322,-0.0890,0.5926,-0.5734,8.4886
-0.1498,0.0711,-0.0671,0.6788,-0.5375,8.3199
-0.0970,0.0261,-0.0136,0.4824,-0.6261,8.6802
-0.1119,0.0653,-0.0421,0.9792,-0.5614,8.0924
-0.2507,0.1013,-0.0743,0.9780,-0.5950,8.2217
-0.3483,0.0642,-0.0541,0.6943,-0.8368,7.1395
-0.8737,0.1026,-0.2022,1.3575,-1.4162,6.1327
-1.3352,-0.4490,-0.1636,2.0518,-1.9022,5.3474
-3.7886,-0.8252,-0.5638,2.6121,-5.7078,8.1738
-3.2245,-0.2966,0.3968,0.3938,-12.2404,39.2254
4.6953,1.0565,1.8223,-1.1408,-19.1776,39.2254
7.2283,2.8376,0.3683,12.0297,-18.1971,6.5745
4.9575,1.2513,0.6560,-4.1922,-10.9044,-14.9087
1.3773,1.3251,0.7053,5.7030,-0.2741,-6.5948
2.0901,0.1005,-0.1127,0.8775,-0.1496,-8.8346
0.0131,0.2617,0.4215,1.6867,3.1244,-3.8654
0.1013,-0.0781,0.0626,-0.4573,5.1918,0.3172
-0.5351,0.1612,-0.0496,0.0634,5.1164,6.7481
-0.4815,0.0730,0.0349,-1.8962,4.4472,5.1834
-0.4215,0.1455,0.0205,-0.3555,4.6627,8.7879
-0.1394,0.3381,0.0456,-1.1576,4.4616,7.9368
-0.1202,0.4826,-0.0144,-0.5686,3.6129,5.0649
-0.1111,0.6203,0.0365,0.9505,2.0207,0.1065
-0.0669,0.4565,-0.1575,1.9429,-0.8260,-4.5358
0.4607,-1.9236,-0.4834,3.0765,-1.7705,-15.8664
-4.5850,-4.6364,0.0970,-0.5183,-10.0257,-35.2283
-8.7314,-3.8866,-0.0933,38.8711,-21.1348,39.2254
-0.6262,-1.5220,-0.1164,-7.5214,-10.7416,39.2254
0.7639,1.4570,-0.4346,2.0303,-3.6547,24.7537
1.3139,0.3184,0.3301,5.2110,-0.9433,8.5054
0.4050,0.4727,-0.0898,4.0821,-0.8344,7.2856
0.3421,0.1836,-0.0701,1.5359,-2.4708,5.9436
-0.2084,0.3277,-0.0354,2.3439,-1.8256,6.2130
-0.1175,-0.0160,0.1154,1.3886,-1.3408,6.6128
-0.6486,0.2803,-0.0482,2.7330,-1.4748,7.6734
-0.0453,-0.0520,0.1023,1.3707,-1.5802,9.9096
-0.2462,0.2817,-0.0029,2.3966,-1.0259,9.0920
-0.0765,0.2856,-0.0421,1.9968,-1.3946,8.9292
-0.0909,0.2270,-0.0221,1.9417,-1.5694,7.8829
-0.1708,0.2473,-0.0512,1.8483,-1.7214,7.9787
-0.1311,0.1300,-0.0195,1.9872,-1.6867,8.1211
-0.1553,0.0778,0.0506,1.7897,-1.4808,8.1989
-0.1708,0.1545,-0.0520,1.7538,-1.5658,8.8681
0.0048,0.0837,0.0072,1.8040,-1.8064,8.6155
-0.0035,0.1108,0.0381,1.1408,-1.9668,8.7568
0.0450,0.1018,0.0733,2.2541,-1.6388,8.4719
0.0000,0.1724,0.0109,1.4581,-1.8088,8.2851
0.0242,0.1276,0.0496,1.5862,-1.7023,8.6395
0.0309,0.1727,-0.0075,1.5479,-1.6640,8.7448
0.0640,0.1090,-0.0037,1.6484,-1.4593,8.1271
0.0016,0.1455,-0.0328,1.6065,-1.4293,8.2540
0.0536,0.0674,-0.0498,1.8675,-1.2091,8.2732
-0.0413,0.1420,-0.1263,1.5538,-1.3396,8.0601
0.0179,0.0685,-0.1346,1.2318,-1.4880,8.0804
-0.0829,0.0679,-0.0813,1.3599,-1.5131,8.3234
-0.0226,0.0791,-0.0711,1.0870,-1.6269,8.6778
-0.0392,0.0970,-0.0386,0.9936,-1.5347,7.8961
-0.0914,0.0762,0.0160,1.2941,-1.5359,8.2815
-0.1007,0.0258,0.0336,0.8787,-1.4497,8.1918
-0.1159,0.0203,0.1188,1.3072,-1.5874,8.9795
-0.1143,0.1426,0.0621,1.1313,-1.6053,8.7101
0.0115,0.0733,0.1170,1.3611,-1.5694,8.7448
-0.0093,0.0413,0.1042,1.1720,-1.6735,8.8418
0.0448,0.0522,0.1969,1.4293,-1.5586,8.9555
0.1412,-0.0293,0.2081,1.2665,-1.3060,8.8143
0.0767,0.1095,0.1532,1.7573,-1.2234,8.8526
0.2960,-0.0362,0.1820,1.6807,-1.0690,9.1722
0.3296,-0.0506,0.0978,1.1696,-0.9565,7.7009
0.1132,0.0898,0.0083,1.1983,-1.0092,7.9009
0.1990,0.0480,-0.0136,0.9984,-1.1564,8.1846
0.0839,0.1479,-0.0296,1.3228,-1.1480,7.7321
-0.0218,0.2092,-0.0328,1.1528,-1.2989,8.7352
0.0056,0.1988,-0.0115,1.4940,-0.9768,8.4276
-0.0626,0.1996,-0.0453,1.7825,-0.6357,8.3031
-0.0226,0.1215,-0.1055,1.3012,-0.3196,8.4982
-0.0338,0.0362,-0.0823,0.7302,-0.2741,8.5353
-0.0282,0.0320,-0.0751,0.6189,-0.2897,8.6347
-0.0168,0.0053,-0.0256,0.2873,-0.5782,8.5533
-0.0344,0.0671,0.0048,0.3100,-0.8763,8.5461
-0.0096,0.0195,0.1282,0.7626,-0.8763,8.8909
0.0624,0.0075,0.1540,1.0618,-0.7051,8.8107
0.0741,0.0970,0.0762,1.3934,-0.5770,8.3510
0.0448,0.0717,0.0477,1.2354,-0.5207,8.4252
0.0626,0.0277,0.0216,1.2127,-0.5016,8.2301
-0.0821,0.0669,0.0333,0.8667,-0.4465,8.5018
-0.0570,0.0384,0.0797,0.9301,-0.2490,8.4743
-0.0498,0.0674,0.0658,1.0953,-0.2957,8.9699
0.0205,0.0789,0.0703,1.2438,-0.2263,9.0405
0.0775,0.1007,-0.0280,1.1576,-0.4788,8.9723
0.0986,0.0306,0.0400,1.0582,-0.3388,8.3522
0.0906,-0.0410,0.0368,0.9637,-0.3017,8.4108
-0.0208,0.0565,-0.0080,1.0343,-0.1700,8.4815
0.0077,0.0269,0.0349,0.8523,-0.1341,8.5150
