Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.0981,0.0400,-0.0735,0.8703,-0.3484,9.0249
-0.0434,0.0306,0.0131,-0.3783,-0.1736,8.4180
-0.0640,0.0394,0.0456,-0.1197,-0.3807,8.5497
-0.0517,0.0498,0.0242,0.0251,-0.6428,8.5150
-0.0509,0.0480,0.0187,-0.0335,-0.6620,8.5892
-0.0360,0.0464,0.0141,0.0227,-0.6955,8.5437
-0.0410,0.0469,0.0213,-0.1089,-0.6835,8.5569
-0.0544,0.0562,0.0163,0.1041,-0.6955,8.5114
-0.0298,0.0496,0.0208,-0.0587,-0.6105,8.4527
-0.0933,0.0549,0.0128,-0.0551,-0.7111,8.5832
-0.0312,0.0544,0.0197,-0.0215,-0.7458,8.7269
-0.0560,0.0576,0.0309,-0.0347,-0.7314,8.5629
-0.0301,0.0496,0.0309,0.1077,-0.6895,8.6371
-0.0128,0.0461,0.0256,0.0060,-0.5902,8.4910
-0.0762,0.0221,-0.0309,0.0694,-0.6859,8.1403
-0.0208,-0.1037,-0.0282,-0.5890,-0.5818,8.3653
-0.2673,-0.3816,-0.0136,-1.8328,-0.7781,8.9376
-1.1554,-0.4367,-0.4146,-6.9420,-0.7661,7.5034
1.5404,-1.9556,2.1666,-36.2626,-17.9445,39.2254
8.0693,-2.1877,8.7312,24.4268,-27.2245,16.8097
5.6674,-0.7621,0.2089,32.5516,-3.2932,-11.3437
2.6561,-0.3187,-3.6172,24.8195,-6.4787,-9.5553
1.9881,-2.6819,-6.3335,15.3420,-13.4913,-1.7490
1.2391,-4.1081,-7.0631,5.6072,-12.6558,-2.1213
-1.1261,-4.7076,-5.7249,-7.4304,-10.4339,-1.4964
-2.8293,-4.2066,-2.2268,-14.1737,-11.8872,3.5267
-5.0180,-3.7603,1.4719,-16.8636,-14.7902,-4.8351
-7.6906,-1.6958,4.3524,-11.7064,-23.1639,37.6991
-0.2641,0.3874,4.8811,-19.5786,-19.9114,39.2254
1.8391,2.3270,8.7312,4.3371,-29.8066,35.5228
4.4124,0.7474,5.9608,39.2254,-11.3725,23.3279
5.2256,0.2276,-0.9963,39.2254,-3.9504,-2.2027
2.4384,-0.5628,-6.2592,12.7300,-11.5389,-11.1725
-0.1535,-1.7845,-4.7241,-25.4671,-5.6096,-11.7064
-3.0478,-0.3280,0.6686,-20.7158,-3.9468,11.1019
-0.4479,0.0240,1.6904,-5.1787,-0.5866,16.4135
0.0096,0.1764,1.3723,1.7813,3.8463,8.9735
0.1506,0.0701,0.3549,1.4545,3.8511,8.2001
0.0274,-0.1460,0.1543,-1.4868,2.9724,7.0521
-0.0456,0.2606,0.6035,-4.1743,1.7813,8.9854
0.3560,-0.6355,1.2369,-3.2968,2.1584,5.9209
-0.4287,-0.1029,1.6513,-0.8499,3.2334,4.4975
-0.9934,-0.0570,1.3656,2.1991,3.6907,6.3710
-0.9395,-0.0437,0.4226,2.3248,3.4189,7.5848
-1.0027,-0.2526,0.1732,0.7254,2.5690,8.2325
-0.8290,-0.0554,0.2244,0.3962,2.0435,9.5565
-0.5265,-0.3507,0.2550,0.7135,1.9118,8.3809
-0.4255,-0.4343,0.3693,2.3607,1.9848,7.4520
-0.7781,-0.3440,0.0778,4.8902,1.4868,8.0254
-0.7765,-0.2811,-0.6728,3.7649,1.2222,10.6015
-0.3675,-0.4202,-1.0459,1.3719,0.2286,10.8685
-0.2819,-0.0464,-0.7810,-0.3484,-0.1293,10.8673
0.0608,0.2148,-0.4165,-1.2534,-0.1556,10.9415
0.2521,0.1764,-0.0810,-0.5806,0.3519,8.8298
0.1218,0.2137,0.0258,0.0084,0.5303,8.1283
0.0648,0.1252,0.1599,0.2753,0.4465,8.5341
0.0930,0.0962,0.2697,0.5997,0.5950,8.1247
-0.0746,0.1375,0.2566,1.6652,0.8272,8.1391
-0.1047,0.1687,0.0909,1.4078,0.7578,9.0046
0.0240,0.1434,0.0930,0.7183,1.0175,8.4731
-0.0679,0.0874,0.1252,0.7494,1.0786,8.1666
-0.0735,0.0152,0.1234,1.3539,1.0044,8.4707
-0.0943,0.0448,-0.0386,1.7801,0.6416,8.9316
-0.0328,0.1114,-0.1266,0.9014,0.5339,9.0321
0.0245,-0.0288,-0.0541,0.2286,0.7242,7.3263
-0.1895,-0.1247,0.0746,-0.7410,0.5722,6.7457
-0.6491,-0.0189,0.3675,-1.8555,-0.2646,7.4711
-0.4938,0.3112,0.9872,-2.4948,-0.7219,10.0221
-0.2014,0.4866,1.3355,5.0290,0.4944,10.3813
0.0608,-0.4391,-0.2486,4.2485,0.9218,9.3745
0.1010,-0.3360,-0.0935,-0.0551,0.3400,8.0780
-0.2172,-0.0498,0.4871,1.5167,0.0754,8.6383
-0.0181,0.0141,0.0893,3.6368,0.2131,9.1459
0.0160,-0.0978,-0.2638,0.7111,0.3879,7.7249
-0.1599,-0.1823,0.0711,0.0419,0.1113,7.4077
-0.4796,-0.0821,0.2875,-0.2502,1.1217,5.9640
-2.6979,0.2198,0.2262,-11.4598,0.2167,9.4774
-0.3832,-0.5990,5.3991,-19.9952,-14.1258,39.2254
5.7964,-3.0558,4.3087,30.4363,-18.4366,30.0975
6.7311,-1.2998,-1.5324,29.6689,-13.4015,-4.0426
4.1275,-1.7008,-6.1161,24.2413,-17.5842,-10.8589
1.6958,-3.7283,-8.5524,7.3179,-21.4281,-7.3287
-0.2449,-4.1547,-6.2083,-11.8345,-13.6481,-3.4345
-3.0558,-4.2122,-3.2895,-11.2504,-12.2787,-4.6699
-4.6652,-4.3417,-0.0112,-26.0022,-15.1565,3.5279
-6.7223,-1.7685,4.3239,-15.7407,-19.7163,23.5278
-3.2428,-0.6326,6.1747,-20.6021,-22.7150,39.2254
0.2619,0.4183,8.7312,1.2091,-34.4789,39.2254
5.6285,-1.3576,7.3224,39.2254,-28.3713,30.1777
5.6978,0.5692,-0.3600,39.2254,-13.7092,-2.0638
4.2010,-1.6811,-7.4865,16.8360,-18.5239,-14.3353
-0.2102,-1.9633,-5.3221,-18.0894,-5.4109,-17.2143
-1.6355,-0.8633,-2.5767,-27.2688,-7.5202,14.8429
-0.9017,0.3861,1.8005,-16.0292,0.0000,11.8908
-0.2140,-0.0954,2.0350,1.4018,3.3950,10.6781
-0.1002,-0.0125,0.9782,5.7904,3.6057,9.1866
0.1807,0.0823,0.3075,1.0307,3.2417,9.3625
0.2691,0.1322,0.5180,-1.9022,3.1759,6.8678
0.0322,0.1961,0.5361,-3.2908,2.4241,8.7903
0.5175,0.2129,1.2737,-3.5829,1.7442,6.0094
-0.1729,-0.5460,1.4386,-1.0534,2.1081,3.0514
-0.9102,-0.4359,1.7152,3.5183,1.9609,2.1488
-1.7032,-0.0440,1.5332,7.6878,1.3156,5.0386
-1.2454,0.2814,0.1308,10.2412,1.3348,7.3921
-1.8578,-1.4045,-0.9731,4.0558,-0.0323,8.6383
-1.6686,-0.3323,-1.0517,4.2150,-0.1808,10.9200
-1.3771,-0.4175,-0.9790,0.0527,-0.1640,14.9386
-0.8146,-0.2369,-0.9116,-0.0814,-1.0235,13.3441
0.0115,0.4183,-0.2825,-0.9206,-0.8930,12.9838
0.3267,0.0498,-0.0312,1.9345,-0.2897,8.2744
-0.0125,-0.1735,-0.1490,2.5869,-0.1377,8.2815
0.1916,0.0890,0.0773,1.8519,-0.5626,8.3246
0.0770,-0.3323,0.0376,2.7162,-0.2346,7.5238
-0.1913,-0.3307,0.1354,0.7602,0.7649,5.4300
-1.2023,-0.2188,-0.2185,-0.6800,-0.1832,10.4220
-0.5423,-0.1553,0.3464,-8.9483,-2.5031,19.3679
1.2383,-0.5297,3.9226,-20.3244,-8.2468,24.1240
1.1876,0.8386,8.7312,22.9784,-24.2664,23.5913
6.1209,-1.9489,-1.4981,39.2254,-22.0698,25.7209
6.3088,-1.4762,-7.5041,15.8089,-24.6938,-8.9220
3.2980,-3.1256,-8.0285,2.6695,-20.8343,-10.1706
0.3277,-2.8690,-6.0125,-14.7375,-12.6701,-13.0017
-2.1655,-4.8011,-2.3710,-18.7406,-8.9148,-8.0900
-5.6330,-3.3963,1.2681,-18.3468,-13.2854,-8.7999
-8.3392,-1.7016,4.4433,-13.5093,-26.0992,20.5566
-2.7331,-1.0352,5.1502,-8.4240,-22.3427,39.2254
2.8341,-0.4503,8.7312,-6.2549,-30.1490,37.5926
4.6077,-0.5180,8.4946,39.2254,-27.2544,21.7250
5.1505,0.1194,-1.1021,39.2254,-15.0296,1.5933
4.4526,-1.8879,-7.0919,18.9812,-18.1038,-10.0221
0.9430,-1.4853,-7.1076,-14.9925,-8.0529,-9.1973
-0.5548,-0.8410,-2.4773,-29.7468,-5.3905,8.1930
-0.5977,0.4413,1.5972,-13.3058,0.2682,10.3549
0.0544,-0.0405,1.7387,0.5160,4.4101,8.0038
-0.1540,0.1660,1.0293,2.9149,5.1296,6.9085
-0.1956,0.2193,0.5905,2.5103,4.1815,9.2392
-0.0085,0.2657,0.4165,-0.0910,3.5135,8.2444
0.0059,0.0805,0.6102,0.9529,3.6966,7.5968
-0.1050,0.2356,0.4101,1.3156,3.8092,7.9847
-0.0352,0.0562,0.1844,1.8411,4.0797,7.0689
-0.0048,0.1082,0.1263,-1.6089,3.2250,8.4910
0.2097,0.3728,0.9662,-3.1603,2.5163,6.6020
-0.0085,0.3672,1.5583,-2.6947,1.8364,4.6292
-0.7767,-0.2763,2.0014,1.3922,2.1225,-0.4142
-2.0776,0.0035,1.5023,7.2269,2.0315,4.0534
-2.1469,0.0226,0.4431,9.2308,1.2941,7.4879
-2.1485,-0.4996,-1.1927,7.7309,-0.8727,11.6693
-1.4221,0.0933,-1.1815,3.3447,-0.2981,11.9531
-0.9371,0.4740,-1.4751,3.0418,-0.3675,11.5748
-0.8428,-0.2806,-2.0539,-2.6588,-1.3850,11.2946
-0.4450,0.1359,-0.7645,-5.4169,-1.3563,11.8333
-0.1327,0.2353,0.1849,0.0239,-1.1971,11.8824
0.3075,0.0069,-0.1196,1.1720,-0.7709,9.5301
0.2105,-0.0192,0.0522,1.6999,-0.4764,8.9016
0.2308,0.0653,0.0679,1.9082,-0.5171,8.6311
0.2446,-0.2758,-0.0410,2.1356,-0.3867,7.6567
0.0314,-0.2864,-0.0685,2.0782,-0.3065,6.2872
-0.1966,-0.3573,-0.1236,1.7957,-0.6740,6.7912
-0.4122,-0.5033,-0.1772,0.1724,-0.7015,6.8031
-0.8780,-0.7991,-0.0432,-6.2704,-2.0039,5.8586
-3.1219,1.3486,2.1826,-29.5564,-11.2803,20.9289
2.0590,-1.4450,8.7312,-1.4341,-24.0007,39.2254
5.8803,-3.5136,5.3945,39.2254,-15.2499,13.8133
4.2405,-1.0984,-3.3007,39.2254,-15.6353,5.1056
5.0535,-3.1501,-8.7314,15.6832,-33.4195,1.5514
2.5983,-4.5211,-8.7019,-8.6981,-24.9979,-13.3668
-1.9588,-4.1262,-4.1544,-25.7772,-13.9618,-12.5660
-4.4481,-3.7467,0.4810,-16.7450,-11.4970,-10.9271
-7.5750,-2.0552,3.0864,-19.9485,-19.9413,8.9711
-5.5547,-0.9926,6.4649,-17.0862,-27.2257,39.2254
3.1656,-0.2601,8.7312,1.0618,-33.2184,39.2254
5.4681,-0.4850,7.9875,39.2254,-24.5070,16.0519
5.0830,-0.6968,-2.8661,39.2254,-13.9833,2.4636
4.1472,-1.4727,-6.6328,-3.6356,-14.1102,-13.1537
-0.5140,-0.6789,-2.0451,-11.3449,0.7877,-5.7174
-0.6057,-0.4247,-1.5505,-8.9208,0.6021,9.2644
-0.3360,0.2566,-0.1218,-8.8921,3.4381,7.2077
-0.2265,0.3336,0.4237,-1.6759,5.1703,7.7812
-0.2057,0.1527,0.6400,-1.1504,4.8614,6.8414
-0.1788,0.4191,0.7799,-2.2039,3.6883,8.4515
0.0568,0.3970,1.4943,-5.7413,2.5630,6.6631
-0.3301,-0.2611,2.7944,-2.1524,1.7561,3.4895
-1.0949,-0.1985,2.5620,8.1283,1.9142,3.3914
-1.5338,-0.1745,1.1583,6.9683,1.2989,3.5674
-1.8732,-0.1476,0.6347,9.6450,0.8487,4.5358
-2.6084,-0.0349,-0.7410,8.9579,-0.7230,9.9108
-1.7810,0.0746,-1.6265,5.5186,-0.6213,13.3788
-1.1056,-0.5207,-2.2018,2.0853,-2.0554,15.3301
-0.2403,0.0432,-1.6515,-2.4050,-1.0606,11.3677
-0.3477,0.3936,-0.2177,-3.2825,-0.8954,11.7053
0.1974,0.4964,0.3978,1.4138,-0.2251,10.0102
0.0573,0.0882,0.0466,2.5438,0.0132,8.9663
0.0794,0.3877,0.0085,2.6037,-0.1006,7.9392
0.0517,0.1583,0.0951,2.7797,-0.1867,8.7520
-0.0176,0.2017,-0.1255,2.6731,-0.0814,7.8925
0.0597,-0.0264,-0.1423,2.8826,0.0515,8.1618
-0.0221,-0.1847,-0.4255,2.4481,-0.1987,7.9104
0.0312,-0.2078,-0.4215,1.2653,-0.2634,7.5525
-0.1716,-0.8388,-0.4815,0.5219,-0.5279,4.8375
-0.9619,-0.7991,-0.1484,-5.7700,-1.3527,1.2857
-3.2532,-0.3587,2.5058,-25.5006,-6.8558,19.8683
-1.7850,-2.6236,6.6410,-12.1877,-14.1485,32.7299
8.4533,-2.8069,4.5384,31.1234,-23.8917,17.8536
5.6479,-1.3523,-1.4085,39.1476,-13.9654,2.2709
4.2860,0.1689,-7.1484,24.1084,-25.8574,-8.8717
2.5029,-3.8605,-8.1098,1.9441,-21.2509,-12.6390
-0.6579,-5.2304,-5.8190,-12.0608,-12.0368,-8.3665
-3.8000,-4.6431,-1.7150,-13.1944,-11.5041,-5.7090
-6.0647,-3.2546,0.1082,-12.9526,-17.0623,5.0530
-5.1894,-0.9148,4.2940,-25.6132,-17.4837,34.4789
-1.3805,0.1966,7.5902,-9.0261,-22.9424,39.2254
3.0140,0.6584,8.7312,13.1921,-29.3852,30.7954
4.9735,-0.0498,5.8350,39.2254,-19.1440,19.9904
5.0401,-1.2327,-5.4132,36.1117,-17.2095,-7.1850
1.9558,-1.3651,-6.7817,-9.8773,-9.5445,-15.8712
-1.1109,-0.7562,-1.7174,-22.2828,0.4824,1.2893
-0.8359,0.1889,0.5446,-11.0492,-0.7278,13.6505
-0.0757,0.3293,1.4040,-2.4576,2.9616,7.7692
-0.1239,0.4258,1.2577,2.4361,3.6763,9.4703
0.7573,0.6880,1.0112,-2.0554,1.8340,8.7676
0.0000,0.0482,1.8945,-2.5654,2.1763,-0.7242
-1.7043,0.3203,2.3345,3.2944,1.6257,1.5371
-2.4938,0.2265,1.6515,6.4057,2.2721,4.4903
-2.3419,0.1418,-0.0045,12.4115,0.9397,13.0891
-1.2502,-0.4956,-1.6707,4.6208,-0.3998,15.1613
-0.3898,-0.5748,-1.7219,3.9157,-0.6069,9.5936
-0.9659,-0.1617,-1.5639,0.3448,-0.6452,8.1391
-0.4354,-0.3861,-0.9979,-0.1688,-1.1384,10.5608
-0.3640,-0.4946,-0.8942,0.1760,-0.8871,9.3960
-0.2454,-0.3072,-0.3288,-0.7183,-0.5219,9.3673
-0.4319,-0.4290,0.1431,0.9888,-0.5255,9.2141
0.0986,-0.4194,0.0701,2.3595,-0.6237,8.7149
-0.3853,-0.1327,-0.0885,2.1476,-0.4178,8.9399
-0.1407,0.0261,0.5217,3.9935,-1.0008,8.5162
-0.0549,0.0855,0.0533,4.9931,-0.8882,9.6199
0.0943,0.2739,-0.1199,3.5362,-0.6955,7.5082
-0.1276,0.4671,-0.1375,2.6779,-0.7638,8.6754
-0.0011,0.0338,0.0229,2.6695,-0.4705,7.4220
-0.1439,0.2036,0.2153,2.7952,-0.6680,8.1020
-0.0858,0.0568,0.1559,3.0143,-1.2031,9.1842
0.4756,0.1114,0.2435,3.1005,-1.2833,8.2097
0.0954,-0.0432,0.0677,-0.5064,-0.6859,7.5573
-0.4413,0.2984,0.9297,-3.5566,-0.3639,6.2429
-1.6984,0.2228,1.5449,-9.6079,-2.3284,19.5678
0.5073,-0.3416,4.9850,-16.2506,-8.9854,30.0197
3.2596,-0.3725,7.5665,39.2254,-23.8319,39.2254
7.1793,-3.1515,-4.6074,36.3356,-26.1171,10.9140
6.1673,-2.9577,-8.7314,4.6651,-30.7212,-11.5341
2.6398,-3.3518,-6.9467,-11.8130,-15.9705,-18.5910
-1.4538,-3.2311,-2.7632,-11.1522,-6.7098,-14.4251
-3.6210,-3.7118,-2.0675,-9.6774,-8.1618,-7.9990
-6.1867,-3.1850,0.5111,-21.6556,-15.2068,-0.8595
-6.8601,-0.9947,5.8419,-12.9335,-24.7070,35.6580
-0.7384,-0.4778,5.7524,-12.3984,-18.7658,39.2254
3.4398,0.5676,8.7312,17.1257,-29.3050,35.4007
5.4859,-0.3667,4.3628,39.2254,-19.1033,14.5903
4.5674,-0.2001,-3.8208,37.0886,-15.0535,-7.6974
2.4320,-1.8218,-7.0208,4.7704,-12.2428,-14.7662
-1.2284,-1.6406,-5.0473,-17.5040,-3.4776,-0.7721
-0.8263,-0.5678,-1.4186,-30.3441,-4.5741,13.8912
-0.1567,0.8164,2.5213,-8.4934,2.1919,9.7121
-0.1138,0.3587,2.0819,1.0355,4.6567,8.2995
-0.1140,0.4120,1.4855,4.5179,3.8199,8.1714
0.1607,0.3898,0.7730,1.4377,3.1256,10.7045
0.8559,0.8847,1.2745,-2.8168,2.2494,8.4886
0.8023,0.2715,1.7453,-1.0918,2.3188,2.3236
-0.6478,0.3683,1.9303,1.6185,2.6169,-0.7997
