Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.0413,0.0501,0.0197,-0.9050,0.0096,8.5401
-0.0410,0.0517,0.0200,-0.8787,0.0239,8.5090
-0.0408,0.0506,0.0203,-0.9110,0.0144,8.4791
-0.0413,0.0517,0.0205,-0.8894,0.0036,8.4982
-0.0413,0.0514,0.0197,-0.8906,0.0060,8.5210
-0.0410,0.0517,0.0197,-0.9014,0.0275,8.4839
-0.0418,0.0512,0.0200,-0.9026,0.0144,8.4970
-0.0413,0.0506,0.0197,-0.8918,0.0168,8.5054
-0.0410,0.0525,0.0205,-0.9026,0.0024,8.4719
-0.0418,0.0522,0.0197,-0.8859,0.0012,8.4779
-0.0410,0.0509,0.0203,-0.8859,0.0096,8.5198
-0.0416,0.0514,0.0197,-0.8978,-0.0120,8.4922
-0.0413,0.0509,0.0200,-0.8942,0.0287,8.5018
-0.0413,0.0514,0.0205,-0.8942,0.0192,8.4958
-0.0416,0.0514,0.0197,-0.8894,0.0012,8.5186
-0.0413,0.0512,0.0205,-0.9014,0.0072,8.5341
-0.0410,0.0506,0.0203,-0.8894,0.0180,8.5150
-0.0416,0.0514,0.0200,-0.8966,0.0275,8.5006
-0.0416,0.0512,0.0203,-0.8918,0.0239,8.4707
-0.0418,0.0525,0.0197,-0.8906,0.0156,8.5293
-0.0416,0.0504,0.0197,-0.8942,0.0275,8.5042
-0.0408,0.0520,0.0203,-0.8811,0.0168,8.4803
-0.0408,0.0517,0.0213,-0.8882,0.0060,8.4934
-0.0418,0.0520,0.0192,-0.9158,0.0120,8.4851
-0.0418,0.0514,0.0203,-0.8918,0.0144,8.4851
-0.0410,0.0514,0.0205,-0.8942,0.0467,8.5317
-0.0405,0.0522,0.0203,-0.8942,-0.0227,8.4874
-0.0408,0.0514,0.0200,-0.8727,0.0072,8.4982
-0.0424,0.0517,0.0197,-0.9014,0.0192,8.5006
-0.0410,0.0509,0.0203,-0.8930,0.0120,8.5198
-0.0421,0.0520,0.0208,-0.9182,0.0012,8.5258
-0.0418,0.0514,0.0197,-0.8978,0.0036,8.4839
-0.0413,0.0520,0.0200,-0.8882,0.0263,8.5078
-0.0418,0.0517,0.0208,-0.9050,-0.0012,8.4994
-0.0405,0.0517,0.0200,-0.8966,0.0072,8.4970
-0.0416,0.0512,0.0197,-0.9074,0.0036,8.4815
-0.0413,0.0522,0.0203,-0.8882,0.0287,8.4862
-0.0416,0.0517,0.0208,-0.8835,0.0132,8.4886
-0.0416,0.0517,0.0203,-0.9074,0.0072,8.5102
-0.0416,0.0520,0.0203,-0.9026,0.0132,8.5102
-0.0418,0.0512,0.0200,-0.9050,0.0060,8.5186
-0.0413,0.0520,0.0200,-0.8595,0.0024,8.5353
-0.0410,0.0512,0.0197,-0.8906,0.0108,8.5078
-0.0410,0.0522,0.0195,-0.8918,0.0227,8.5138
-0.0432,0.0488,0.0203,-0.8763,-0.0072,8.5234
-0.0429,0.0509,0.0187,-0.9361,0.0371,8.4851
-0.0424,0.0509,0.0213,-0.9361,0.0072,8.5018
-0.0418,0.0514,0.0232,-0.7135,-0.1879,8.4839
-0.0413,0.0528,0.0152,-0.8392,-0.1030,8.4767
-0.0421,0.0498,0.0203,-0.8703,0.2155,8.5305
-0.0424,0.0498,0.0256,-1.1169,0.0515,8.4803
-0.0424,0.0509,0.0176,-0.9110,-0.1245,8.4791
-0.0413,0.0522,0.0173,-0.7925,0.0682,8.5150
-0.0410,0.0506,0.0234,-0.8799,0.0814,8.4994
-0.0418,0.0509,0.0224,-0.9373,-0.0826,8.4731
-0.0416,0.0528,0.0165,-0.8990,-0.0287,8.4958
-0.0413,0.0517,0.0200,-0.8511,0.1544,8.5234
-0.0421,0.0517,0.0237,-0.9433,-0.0323,8.5162
-0.0418,0.0517,0.0187,-0.8631,-0.0742,8.5018
-0.0402,0.0528,0.0176,-0.9254,0.0646,8.4827
-0.0424,0.0506,0.0221,-0.8607,0.0670,8.5054
-0.0416,0.0517,0.0205,-0.8918,-0.0718,8.4635
-0.0418,0.0517,0.0171,-0.8918,-0.0359,8.5126
-0.0410,0.0520,0.0200,-0.8823,0.0994,8.4982
-0.0416,0.0506,0.0224,-0.8847,-0.0096,8.5066
-0.0418,0.0514,0.0195,-0.8727,-0.0455,8.4767
-0.0416,0.0514,0.0184,-0.8894,0.0120,8.5006
-0.0410,0.0514,0.0211,-0.8739,0.0742,8.5126
-0.0413,0.0506,0.0213,-0.9074,-0.0611,8.5054
-0.0416,0.0530,0.0192,-0.8859,-0.0132,8.4958
-0.0413,0.0512,0.0195,-0.8930,0.0575,8.4946
-0.0413,0.0512,0.0211,-0.9050,0.0204,8.5030
-0.0402,0.0525,0.0205,-0.9206,-0.0168,8.5006
-0.0397,0.0538,0.0192,-0.9349,0.0144,8.4839
-0.0418,0.0514,0.0200,-0.8499,0.0263,8.5150
-0.0413,0.0512,0.0226,-0.8679,0.0407,8.5222
-0.0405,0.0530,0.0197,-1.0307,-0.0575,8.4815
-0.0421,0.0506,0.0181,-0.8428,0.0658,8.5341
-0.0418,0.0509,0.0211,-0.8954,0.0180,8.5054
-0.0424,0.0514,0.0208,-0.8655,0.0060,8.5114
-0.0408,0.0514,0.0192,-0.9206,-0.0168,8.5377
-0.0421,0.0512,0.0200,-0.9122,0.0000,8.4922
-0.0416,0.0506,0.0211,-0.8655,0.0790,8.5162
-0.0408,0.0541,0.0211,-0.9732,-0.0730,8.4647
-0.0416,0.0477,0.0192,-0.8440,0.0670,8.5090
-0.0402,0.0528,0.0208,-0.9828,-0.0120,8.5186
-0.0405,0.0549,0.0205,-0.8847,0.0144,8.4815
-0.0410,0.0506,0.0205,-0.9158,0.0156,8.4827
-0.0413,0.0514,0.0187,-0.9385,-05.0781,8.4264
-0.0858,0.2406,0.4104,-28.9255,-11.0265,6.9695
0.0099,0.0410,0.1343,1.6616,-1.1516,8.4731
-0.1575,-0.0967,-0.0029,0.9242,-0.7997,8.5533
-0.1514,-0.0200,-0.0530,0.7386,-0.9661,9.1028
-0.0416,0.0163,-0.0408,0.6129,-1.0906,9.0369
0.0000,0.0613,0.0168,0.4705,-1.1289,8.8119
0.0200,0.0986,0.0554,0.7183,-1.0104,8.3139
-0.0386,0.0272,0.0360,0.7099,-0.8990,7.9476
-0.1295,0.0045,0.0855,0.4465,-0.9565,8.3210
-0.0943,0.0171,0.1247,1.2330,-1.1097,8.9423
-0.0570,0.0877,0.0131,1.5634,-1.1863,9.0513
0.0384,0.1231,-0.0498,1.3982,-1.1887,9.0501
0.0690,0.1170,-0.1641,1.3563,-0.7877,7.6818
-0.1276,-0.0096,-0.1716,0.2729,-0.6728,7.5549
-0.1836,-0.0370,-0.0157,0.6919,-0.9960,8.8992
-0.0573,0.0754,-0.0837,1.1408,-1.3072,9.5780
0.0618,0.1391,-0.0903,0.5195,-1.2869,9.0776
0.0733,0.1127,-0.0013,0.4405,-0.8224,7.5848
-0.0933,0.0354,0.0224,-0.0970,-0.8475,8.4252
