Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.4261,-0.5020,0.6614,5.0853,-0.6428,7.1204
-0.0112,0.0426,-0.0330,6.0418,-0.9266,7.0509
0.0085,0.0608,0.0117,5.8598,-0.8308,6.7217
-0.1279,-0.0618,0.1002,6.1603,-0.9098,7.1623
0.0693,0.0578,0.0056,6.2572,-0.9720,6.9168
-0.0341,-0.0005,-0.0344,5.8706,-0.8667,6.5027
-0.0554,0.0778,0.0887,6.1639,-0.9170,6.7684
-0.0797,0.0107,-0.0013,6.2656,-0.8978,6.8570
-0.0128,0.0762,0.0048,6.1435,-0.8954,6.8773
-0.0586,0.0080,0.0256,5.9903,-0.8332,6.6128
-0.0157,0.0346,0.0168,6.0717,-0.9194,6.7947
-0.1103,-0.0085,0.0887,6.1950,-0.8835,6.7660
-0.0328,-0.0048,-0.0117,6.1519,-0.9290,6.9504
-0.0218,-0.0600,0.0266,6.2716,-0.9278,6.7612
-0.0019,-0.1812,-0.0144,6.0023,-0.9325,6.7193
0.0512,-0.6233,0.0282,5.7269,-1.0654,7.0797
0.1585,-0.6867,0.0738,5.7521,-1.0068,6.6607
0.1825,-1.4490,0.3491,6.1280,-1.0858,6.9528
0.3675,-1.6907,0.3912,8.1547,-0.5435,3.5027
-1.3891,-1.2422,0.1362,8.1020,-1.3144,5.9975
0.4855,-0.3680,0.4490,8.2325,-1.7873,7.2257
1.1706,-0.8982,0.4940,8.1235,-1.4700,3.9181
0.1700,-1.3486,0.6320,8.6455,-1.2222,2.9724
0.3360,-1.3294,0.7925,8.6491,-1.9920,3.5530
0.9726,-1.3161,0.8767,9.3889,-2.4050,2.8467
1.2937,-0.6819,0.9358,10.0341,-2.5295,2.4708
1.5228,-0.6235,0.6797,11.6729,-2.4804,1.6221
1.3643,-0.5593,-0.1740,10.5129,-2.6145,0.7290
1.3558,-0.9004,-0.2566,10.0257,-2.2254,1.4928
1.5087,-0.8513,-0.1066,10.1670,-1.6496,0.0311
