Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
0.0703,-0.2502,-0.1359,4.5550,0.2502,8.3905
0.1058,-0.0866,0.0128,4.3455,0.2394,7.7776
-0.0053,-0.0999,-0.0871,4.5442,0.2634,7.9140
0.0298,-0.0208,0.0043,4.6543,0.3807,7.7572
-0.0514,-0.0035,-0.1588,4.5226,0.4022,7.4400
-0.0578,-0.1836,0.1636,4.5047,0.4441,7.4101
-0.1061,-0.0922,0.0021,5.2361,0.4764,7.4891
-0.0991,0.0416,-0.1298,4.8530,0.3950,7.3203
-0.1559,0.1519,-0.0021,4.9153,0.3579,7.9679
0.0805,-0.0594,-0.0935,5.0566,0.5878,7.2173
-0.2734,-0.0253,-0.1132,4.7633,0.4441,7.5884
-0.0546,-0.0618,-0.0261,5.0578,0.3723,7.6088
-0.3056,-0.1026,0.0149,4.3634,0.3986,6.7074
-0.7261,-0.2926,0.3038,3.9804,-0.1820,7.6495
-0.0498,-0.3882,0.9856,4.0378,-0.8380,8.4575
-0.0184,-0.5137,0.8484,5.2457,-0.8009,8.0397
0.0818,-0.3262,0.9427,5.1188,-0.9828,8.2181
0.4426,-0.2478,0.7941,6.7469,-1.0247,8.2780
0.8809,-0.1974,0.3808,6.2501,-0.9002,8.1487
0.9942,-0.1697,0.2846,7.1467,-0.3220,7.2772
0.9859,-0.4722,-0.1332,7.0413,0.2538,7.5405
1.0000,-0.3640,-0.3568,7.4579,0.9828,6.5841
0.9422,-0.2817,-0.4810,7.1287,1.2414,6.1375
0.9297,-0.0767,-0.5449,7.1575,1.6807,6.0035
0.9265,-0.0434,-0.5660,6.5194,2.1835,5.3834
0.2867,0.3027,-0.5777,7.4986,2.4720,6.0885
0.2081,0.0456,-0.5641,6.6367,2.7880,6.7241
0.3629,0.3672,-0.7578,6.4979,2.9987,6.2752
0.0658,0.3096,-0.6598,5.7102,3.5171,5.8155
0.0869,0.4879,-0.5047,5.5701,3.8595,6.1615
0.2635,0.2427,-0.8386,5.9963,4.1300,5.1020
-0.3360,0.6342,-0.7402,4.7058,4.3467,4.6711
-0.7091,0.6555,-0.6134,4.5741,4.1061,4.9392
-0.9355,0.5161,-0.6019,3.3579,3.6895,6.1483
-0.6145,0.2888,-0.2537,4.2892,3.4273,5.9532
-1.1815,0.4530,-0.6771,2.9389,3.0777,6.0298
-1.6758,0.2726,-0.1026,3.1639,2.5307,7.3574
-1.1341,0.0522,-0.3552,2.8730,2.0662,8.3857
-0.9353,0.1815,-0.1644,3.4069,1.5981,8.4503
