Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.0783,0.0765,-0.0445,0.5519,2.3020,8.3929
-0.0600,0.0802,-0.0234,0.4669,2.3523,8.3210
-0.0632,0.0677,0.0035,0.5590,2.4181,8.3498
-0.0581,0.0610,-0.0045,0.5447,2.3727,8.3498
-0.0560,0.0807,0.0187,0.6201,2.3679,8.3510
-0.0437,0.0842,0.0032,0.5411,2.3762,8.2025
-0.0655,0.1146,0.0093,0.3184,2.3715,8.3677
-0.0610,0.0514,0.0386,0.4190,2.3140,8.3390
-0.0637,0.0759,0.0445,0.4764,2.2110,8.5246
-0.0237,0.0709,0.0608,0.6560,2.3284,8.3941
-0.0456,0.0408,0.0077,0.4944,2.3846,8.2720
-0.0389,0.0413,0.0330,0.5088,2.3032,8.3965
-0.0453,0.0693,0.0075,0.5686,2.2745,8.3977
-0.0290,0.0546,0.0282,0.4286,2.2697,8.2552
-0.0557,0.0560,0.0312,0.4429,2.2829,8.3055
-0.0573,0.0538,0.0437,0.5543,2.2948,8.3210
-0.0544,0.0517,0.0528,0.5638,2.3152,8.3749
-0.0642,0.0496,0.0218,0.6907,2.2984,8.3725
-0.0370,0.0839,0.0248,0.4956,2.3020,8.2947
-0.0765,0.1074,0.0085,0.4058,2.2601,8.2408
-0.0666,0.0296,0.0346,0.5279,2.2721,8.4180
-0.0655,0.0493,0.0218,0.4262,2.2470,8.4695
-0.0413,0.0616,0.0386,0.4717,2.2589,8.4683
-0.0293,0.0490,0.0426,0.4034,2.3020,8.3414
-0.0498,0.0432,0.0408,0.4645,2.2051,8.3809
-0.0282,0.0634,0.0450,0.5255,2.2362,8.2720
-0.0613,0.0653,0.0211,0.3879,2.2673,8.2432
-0.0695,0.0357,0.0522,0.3472,2.1656,8.4048
-0.0610,0.0714,0.0986,0.4908,2.1703,8.5018
-0.0349,0.0557,0.0685,0.8272,2.2517,8.3749
-0.0328,0.0847,0.0493,0.6764,2.2266,8.4635
-0.0290,0.0991,0.0069,0.6153,2.2350,8.3318
-0.0389,0.0938,0.0107,0.4788,2.1955,8.3366
-0.0397,0.0762,0.0093,0.4130,2.2278,8.2540
-0.0608,0.1069,0.0072,0.4381,2.2434,8.2432
-0.0933,0.1367,0.0405,0.3136,2.2230,8.2432
-0.0901,0.1705,0.1053,0.2909,2.3643,8.4827
-0.0722,0.1407,0.1159,0.5076,2.3511,8.3785
-0.0237,0.2233,0.0546,0.4334,2.2841,8.5521
-0.0112,0.2419,0.0301,-0.0239,2.1931,8.0948
-0.0360,0.2513,0.0999,-0.3160,2.2098,7.7931
-0.1591,0.1884,0.1423,0.1245,2.3032,7.5657
-0.2537,0.1561,0.0789,0.0790,2.3152,7.8913
-0.2971,0.1268,0.0498,0.1580,2.2051,8.1954
-0.3016,0.0818,-0.0357,-0.0730,2.0099,8.2217
-0.2894,0.0885,-0.0277,-0.4142,1.7597,8.5198
-0.2856,0.0735,-0.0091,-0.4214,1.5574,8.6084
